Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.0001087,6.24e-05,6.33e-05,7.53e-05,5.78e-05,7.87e-05,6.83e-05,5.61e-05,5.3e-05,6.82e-05,5.93e-05,5.05e-05,7.99e-05,6.7e-05,5.51e-05,7.43e-05,5.05e-05,6.07e-05,5.57e-05,5.08e-05,5.95e-05,6.91e-05,5.01e-05,5.27e-05,8.57e-05,6.4508e-05
6.28e-05,5.97e-05,5.94e-05,8.14e-05,6.13e-05,5.78e-05,4.95e-05,6.24e-05,5.57e-05,5.5e-05,5.44e-05,4.86e-05,5.52e-05,5.71e-05,5.02e-05,6.04e-05,5.41e-05,4.87e-05,4.94e-05,5.99e-05,4.93e-05,4.88e-05,5.36e-05,5.79e-05,4.82e-05,5.6032e-05
5.42e-05,5.93e-05,5.81e-05,5.65e-05,5.75e-05,7.52e-05,5.63e-05,5.4e-05,4.82e-05,5.78e-05,5.29e-05,6.94e-05,4.99e-05,6.14e-05,5.3e-05,5.23e-05,4.8e-05,5.74e-05,4.63e-05,4.77e-05,5.14e-05,5.72e-05,7.08e-05,4.83e-05,4.79e-05,5.564e-05
6.57e-05,5.98e-05,5.56e-05,8.17e-05,5.74e-05,5.64e-05,5.23e-05,6.08e-05,5.92e-05,5.78e-05,4.91e-05,5.2e-05,5.38e-05,5.54e-05,5.03e-05,6.07e-05,5.44e-05,4.92e-05,4.95e-05,6.06e-05,4.8e-05,5.06e-05,5.2e-05,8.18e-05,5.05e-05,5.6984e-05
6.04e-05,9.93e-05,6.87e-05,6.59e-05,5.93e-05,8.7e-05,5.87e-05,5.96e-05,5.67e-05,6.82e-05,6.24e-05,6.35e-05,5.65e-05,6.7e-05,5.95e-05,6.14e-05,5.35e-05,6.65e-05,5.28e-05,5.3e-05,5.42e-05,6.69e-05,5.21e-05,5.38e-05,5.52e-05,6.2484e-05
,,,,,,,,,,,,,,,,,,,,,,,,,5.91296e-05,5.91296e-05
