Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0006901,0.0002139,0.0002206,0.0001866,0.0002159,0.0002512,0.0001913,0.0001825,0.0002285,0.0001825,0.0004691,0.00045,0.0004544,0.0004466,0.0004853,0.0005147,0.0004175,0.000461,0.0004875,0.0004594,,0.00046455
0.0002199,0.0001871,0.0001927,0.0001967,0.0002394,0.0001932,0.0002498,0.0001986,0.0002935,0.0001815,0.0004381,0.0003907,0.0004755,0.0003908,0.0003834,0.0004772,0.0003917,0.0004264,0.0004673,0.0003777,,0.00042188
0.0002178,0.0001782,0.000212,0.0001539,0.000156,0.0002321,0.0001595,0.0001898,0.0002309,0.0001611,0.0005261,0.0004952,0.0005891,0.0005026,0.000502,0.0005619,0.0005236,0.000502,0.0005548,0.0005346,,0.00052919
0.000197,0.0001719,0.0002399,0.0001501,0.0001488,0.0001593,0.0001548,0.0002933,0.0001566,0.0001616,0.0005365,0.000463,0.0005305,0.0004367,0.0004526,0.0005123,0.0005019,0.000564,0.000512,0.0004945,,0.0005004
0.0002274,0.0001929,0.000217,0.0001889,0.0001825,0.0001947,0.0001844,0.0003304,0.0001845,0.0001821,0.0003312,0.000295,0.0004611,0.000342,0.0003374,0.0003058,0.0003367,0.0003197,0.0002993,0.0002971,,0.00033253
0.0002367,0.0001937,0.0002375,0.0002239,0.0002206,0.0001834,0.000187,0.0002232,0.0001855,0.0001838,0.0006889,0.0006312,0.0006799,0.0006894,0.0007416,0.0006857,0.0006873,0.000713,0.0006842,0.0007493,,0.00069505
0.0002301,0.0001944,0.0001669,0.0001861,0.0002797,0.0001886,0.0001827,0.0002142,0.0001813,0.0001929,0.0005394,0.0005063,0.0005023,0.0005778,0.0005215,0.0005102,0.0005362,0.0005668,0.0004651,0.0003367,,0.00050623
0.0001987,0.0001628,0.0001601,0.0001864,0.0002032,0.0001294,0.0001289,0.0001545,0.000127,0.0001372,0.0002987,0.0002658,0.0002372,0.0002684,0.000435,0.0002818,0.0002279,0.0002653,0.0002261,0.0001534,,0.00026596
0.0002533,0.0001404,0.0001092,0.0001235,0.0002106,0.0001071,0.0001066,0.000151,0.0001056,9.96E-05,0.0002532,0.0001948,0.0002059,0.0002371,0.0002332,0.0001759,0.0001725,0.0002057,0.0001732,0.0001312,,0.00019827
0.0001698,0.0001214,0.0001121,0.0001561,0.0001497,0.0001047,0.0001041,0.0001187,0.0001066,0.0001032,0.0002047,0.0001734,0.0001452,0.0001686,0.0002867,0.0001405,0.0001411,0.0001656,0.000144,0.000108,,0.00016778
,,,,,,,,,,,,,,,,,,,,,0.000408184
