Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0030931,0.0020645,0.0024144,0.0021309,0.0011497,0.0025327,0.0016476,0.0016555,0.0020016,0.0024002,0.0712584,0.072335,0.0721338,0.0706756,0.0287283,0.061133,0.0640479,0.0628806,0.0658222,0.0700034,,0.06390182
0.0011674,0.0021934,0.0014942,0.0016661,0.0013209,0.0019178,0.0017393,0.0017463,0.0011595,0.0028447,0.0480682,0.0454032,0.0659378,0.0726387,0.0638762,0.0626328,0.0619056,0.0789805,0.0384963,0.0596205,,0.05975598
0.0011537,0.0019011,0.0015579,0.0017001,0.0012065,0.0019195,0.001277,0.0017939,0.001774,0.0018066,0.065322,0.0462894,0.0638345,0.0536226,0.061318,0.0564928,0.0580056,0.0451666,0.0688002,0.0404979,,0.05593496
0.0014249,0.0010694,0.0013163,0.0016668,0.0014733,0.001169,0.0016572,0.0009625,0.0016245,0.0008137,0.0161796,0.0303594,0.0303422,0.0172365,0.0284076,0.018167,0.0255494,0.0146593,0.0274235,0.0143073,,0.02226318
0.0007538,0.0009753,0.0009125,0.0006279,0.0009603,0.0010432,0.0009359,0.0011789,0.0009258,0.0005127,0.0157496,0.0266785,0.0321373,0.015009,0.0249171,0.024693,0.0238873,0.0249641,0.0229714,0.0116939,,0.02227012
0.0010478,0.0012228,0.0009141,0.0005659,0.0009637,0.0008822,0.0010388,0.0009114,0.0010364,0.0005341,0.0154595,0.0195973,0.0188584,0.0094753,0.0184648,0.01661,0.0165781,0.0159146,0.0207633,0.0198211,,0.01715424
0.0005565,0.0006133,0.0011481,0.0004609,0.0008877,0.0008362,0.0008373,0.000823,0.0006243,0.0006093,0.0085656,0.008305,0.0092983,0.0040209,0.0081347,0.007365,0.0073894,0.007183,0.0054369,0.0083864,,0.00740852
0.0006761,0.0005102,0.0006106,0.0003045,0.0005908,0.0005334,0.0005409,0.0005456,0.0005137,0.0004908,0.006789,0.0050854,0.0062499,0.0027307,0.0058641,0.0051043,0.0051052,0.0058673,0.006508,0.0056434,,0.00549473
0.0005246,0.0005071,0.0004652,0.0002611,0.0005488,0.0004539,0.000456,0.0004327,0.0005715,0.0003437,0.0026233,0.0029621,0.0032808,0.0015504,0.0035795,0.0029784,0.0029823,0.0029401,0.0019495,0.0028763,,0.00277227
,,,,,,,,,,,,,,,,,,,,,0.028550647
