Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0022187,0.0016001,0.0009397,0.0015028,0.0017522,0.0019947,0.0017505,0.0019088,0.0013945,0.0015437,0.0686547,0.0602716,0.0621039,0.0599769,0.0606006,0.0608688,0.0605871,0.0694635,0.0597969,0.0605495,,0.06228735
0.0019949,0.0013957,0.0019452,0.0014115,0.0014357,0.0014025,0.0013653,0.0013928,0.0014813,0.0014433,0.0517695,0.0594068,0.0672844,0.0497484,0.0393302,0.0458397,0.0563965,0.056435,0.0561791,0.056421,,0.05388106
0.0011144,0.0013716,0.0013238,0.0010234,0.001996,0.0009713,0.0013294,0.0013595,0.0013621,0.0013683,0.0363431,0.0480394,0.0425541,0.0511374,0.0444422,0.0511409,0.0555016,0.0510205,0.0667941,0.051586,,0.04985593
0.0007931,0.0010239,0.0014558,0.0012474,0.001192,0.0011993,0.0012499,0.0009712,0.0018415,0.0011771,0.0137333,0.0158107,0.011088,0.021679,0.022152,0.0197665,0.0299843,0.0182226,0.0293336,0.0219045,,0.02036745
0.0005294,0.0008494,0.0004617,0.0007731,0.0009004,0.0007876,0.0011081,0.0007669,0.0010553,0.0007867,0.0112717,0.0200439,0.0257497,0.0200363,0.0203854,0.0199827,0.0247889,0.014303,0.0279301,0.0201921,,0.02046838
0.0004829,0.0007159,0.0009016,0.0007289,0.0007546,0.0007565,0.0010076,0.0005324,0.0010352,0.0007672,0.0083313,0.0138474,0.0170947,0.0144624,0.0153339,0.0146871,0.0153949,0.0103914,0.0188654,0.0144725,,0.0142881
0.0004175,0.0006555,0.0007004,0.0006591,0.0006933,0.0006826,0.0007255,0.0006709,0.0007966,0.0006346,0.0035454,0.0060243,0.0070833,0.0063899,0.0063629,0.0064022,0.0064955,0.0047131,0.0076615,0.0063723,,0.00610504
0.0004292,0.0003441,0.0004372,0.0003951,0.0003649,0.0004274,0.0005646,0.0002851,0.0004784,0.0003941,0.0025153,0.0041666,0.0048471,0.0045784,0.0044399,0.0046015,0.0050302,0.0033331,0.0050207,0.004603,,0.00431358
0.0002161,0.0003223,0.0003463,0.0002948,0.0003958,0.0003558,0.0004323,0.0003174,0.0003591,0.0003446,0.0014552,0.0022456,0.0026151,0.0025271,0.0031383,0.0027356,0.0030006,0.0020788,0.0030107,0.0025219,,0.00253289
,,,,,,,,,,,,,,,,,,,,,0.026011087
