Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0005763,0.0002188,0.0002757,0.0002748,0.0002679,0.0002201,0.0002833,0.000406,0.0003062,0.0003072,0.000706,0.0003431,0.0005463,0.0006025,0.000575,0.0005013,0.0005567,0.0005865,0.0005627,0.0005853,,0.00055654
0.000262,0.000195,0.0002913,0.0003465,0.0002602,0.0002718,0.0003085,0.0002548,0.000313,0.0002741,0.0005254,0.0003579,0.0005421,0.0005736,0.0004904,0.0005343,0.0005369,0.0004595,0.0006,0.0006131,,0.00052332
0.0001926,0.000198,0.0002294,0.0002226,0.0003976,0.0002322,0.0002501,0.0001991,0.0002997,0.0002644,0.0006051,0.0007319,0.0007632,0.0007104,0.0007451,0.0007142,0.0005894,0.0005088,0.0006451,0.0007615,,0.00067747
0.0001562,0.0002792,0.0002385,0.000212,0.0003626,0.0002058,0.0002397,0.000174,0.0002003,0.0002487,0.0005334,0.0004386,0.0005794,0.0006059,0.0008321,0.0005485,0.0004853,0.000823,0.0005741,0.0006275,,0.00060478
0.0001822,0.0002077,0.0002108,0.0002428,0.0002836,0.0002146,0.0002059,0.0004217,0.0002904,0.0002576,0.0003034,0.0004,0.0003563,0.0003955,0.0003924,0.0003945,0.0003075,0.000423,0.0005848,0.0003929,,0.00039503
0.0002907,0.0003084,0.000258,0.0003051,0.0002483,0.0007703,0.0003137,0.0004333,0.0002445,0.0002441,0.0004562,0.0009953,0.0007712,0.000983,0.0008483,0.0013567,0.001045,0.000843,0.0008276,0.0008873,,0.00090136
0.0001776,0.0004626,0.0002169,0.0003347,0.0002548,0.0004126,0.0002947,0.0003189,0.0002256,0.0002364,0.0006677,0.0006718,0.000614,0.0006981,0.0006242,0.0009215,0.0006195,0.0006453,0.0006088,0.0006584,,0.00067293
0.0002607,0.0002572,0.0002099,0.000233,0.000215,0.0002472,0.0002415,0.0002401,0.0001828,0.0002415,0.0002386,0.0002753,0.0002555,0.0003622,0.0002736,0.0003098,0.0003449,0.0002644,0.0003296,0.0003372,,0.00029911
0.0001417,0.0001984,0.000122,0.0002389,0.0001293,0.0001361,0.0002106,0.0001405,0.0001626,0.0001601,0.0002949,0.0002806,0.0002594,0.0003099,0.0002611,0.0002065,0.0002641,0.000194,0.0002538,0.0002445,,0.00025688
0.0002247,0.0002275,0.0001636,0.0001753,0.0001292,0.0001576,0.0001916,0.0001343,0.0001629,0.0001989,0.0001711,0.0001998,0.0001976,0.0002148,0.0001568,0.000195,0.0001863,0.0002671,0.0002004,0.0002145,,0.00020034
,,,,,,,,,,,,,,,,,,,,,0.000508776
