Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.0001088,6.99e-05,5.96e-05,5.49e-05,5.02e-05,5.98e-05,4.99e-05,6.17e-05,5.12e-05,0.0001058,4.98e-05,6e-05,5.22e-05,6.16e-05,4.9e-05,6.31e-05,5.15e-05,5.98e-05,4.87e-05,5.91e-05,5.12e-05,6.03e-05,4.85e-05,5.93e-05,5.27e-05,5.9944e-05
0.0001008,9.53e-05,6.44e-05,5.57e-05,6.17e-05,4.97e-05,5.94e-05,5.26e-05,5.89e-05,6.01e-05,5.89e-05,5e-05,7.24e-05,4.95e-05,6.26e-05,5.03e-05,6.08e-05,4.77e-05,5.92e-05,5e-05,5.85e-05,4.79e-05,6.34e-05,5.8e-05,5.83e-05,6.0244e-05
9.91e-05,6.83e-05,5.27e-05,8.56e-05,5.02e-05,6.01e-05,4.96e-05,5.83e-05,7.07e-05,6.39e-05,5.34e-05,5.73e-05,4.66e-05,6.17e-05,5.05e-05,0.0001058,4.93e-05,5.88e-05,4.94e-05,7.11e-05,4.66e-05,5.81e-05,4.93e-05,5.82e-05,4.73e-05,6.0876e-05
9.19e-05,7.48e-05,6.16e-05,5.11e-05,5.69e-05,4.67e-05,5.63e-05,4.71e-05,5.44e-05,6.76e-05,5.39e-05,4.53e-05,5.75e-05,5.02e-05,5.42e-05,4.61e-05,5.54e-05,4.77e-05,5.44e-05,4.54e-05,5.45e-05,4.73e-05,5.5e-05,4.52e-05,5.5e-05,5.502e-05
9.19e-05,6.41e-05,4.96e-05,6.72e-05,6.08e-05,5.86e-05,4.73e-05,5.4e-05,4.91e-05,6.07e-05,4.48e-05,5.77e-05,4.84e-05,5.44e-05,4.42e-05,6.68e-05,4.73e-05,5.44e-05,4.47e-05,5.39e-05,4.75e-05,5.42e-05,4.54e-05,5.49e-05,4.99e-05,5.4872e-05
9.06e-05,7.54e-05,6.02e-05,5.39e-05,5.9e-05,4.72e-05,5.49e-05,4.83e-05,5.37e-05,4.89e-05,5.81e-05,6.53e-05,5.34e-05,4.52e-05,5.36e-05,4.78e-05,5.45e-05,4.5e-05,5.38e-05,4.7e-05,5.39e-05,4.54e-05,7.14e-05,5.14e-05,5.4e-05,5.5676e-05
7.17e-05,9.16e-05,4.96e-05,0.0001539,4.68e-05,5.45e-05,4.52e-05,5.47e-05,4.43e-05,5.48e-05,4.67e-05,5.68e-05,4.37e-05,5.34e-05,4.67e-05,5.32e-05,4.54e-05,5.31e-05,4.75e-05,0.0001596,4.53e-05,5.3e-05,5.06e-05,5.29e-05,4.44e-05,6.0776e-05
8.04e-05,7.55e-05,6.13e-05,5.12e-05,5.28e-05,4.3e-05,5.2e-05,5.42e-05,5e-05,4.69e-05,5.05e-05,4.28e-05,4.99e-05,4.53e-05,5.14e-05,4.28e-05,5.01e-05,4.42e-05,6.14e-05,4.47e-05,4.95e-05,4.76e-05,5.1e-05,4.24e-05,4.96e-05,5.162e-05
7.79e-05,8.12e-05,4.63e-05,0.0001026,4.53e-05,5.09e-05,4.23e-05,4.89e-05,4.39e-05,5.4e-05,4.22e-05,4.94e-05,4.53e-05,5e-05,5.59e-05,5.04e-05,4.45e-05,4.95e-05,4.12e-05,5.26e-05,4.77e-05,5e-05,4.24e-05,5.02e-05,4.33e-05,5.2316e-05
8.08e-05,8.09e-05,5.51e-05,4.97e-05,5.2e-05,4.25e-05,4.95e-05,4.45e-05,5.38e-05,4.19e-05,4.99e-05,4.47e-05,4.97e-05,4.51e-05,5e-05,4.53e-05,4.98e-05,4.11e-05,4.87e-05,4.92e-05,4.88e-05,4.18e-05,4.92e-05,4.37e-05,4.94e-05,5.0284e-05
6.88e-05,7.53e-05,4.56e-05,5.67e-05,4.28e-05,4.93e-05,4.38e-05,4.91e-05,4.13e-05,6.05e-05,5.61e-05,4.97e-05,4.55e-05,4.86e-05,4.33e-05,4.93e-05,4.11e-05,4.87e-05,4.31e-05,4.94e-05,4.09e-05,6.14e-05,4.32e-05,4.86e-05,4.21e-05,4.9768e-05
6.1e-05,7.54e-05,5.51e-05,4.66e-05,4.91e-05,4.17e-05,6.54e-05,4.44e-05,4.85e-05,4.44e-05,4.8e-05,4.46e-05,4.81e-05,4.32e-05,4.82e-05,4.24e-05,4.79e-05,6.09e-05,4.75e-05,4.1e-05,4.89e-05,4.26e-05,5.34e-05,4.14e-05,4.77e-05,4.9496e-05
5.57e-05,7.15e-05,4.36e-05,5.12e-05,4.08e-05,4.83e-05,4.19e-05,4.44e-05,4.09e-05,4.63e-05,4.21e-05,4.49e-05,4.07e-05,4.49e-05,3.87e-05,4.44e-05,4.11e-05,4.45e-05,3.9e-05,4.44e-05,4.02e-05,4.44e-05,3.84e-05,4.81e-05,4.11e-05,4.486e-05
5.63e-05,5.3e-05,6.96e-05,4.05e-05,4.63e-05,3.96e-05,4.52e-05,4.17e-05,4.42e-05,4.42e-05,4.47e-05,4.05e-05,4.48e-05,5.13e-05,4.47e-05,4.05e-05,4.39e-05,4.02e-05,4.44e-05,4.02e-05,4.44e-05,3.81e-05,4.89e-05,4.09e-05,5.51e-05,4.5728e-05
5.46e-05,5.81e-05,4.31e-05,4.81e-05,4.1e-05,4.72e-05,4e-05,4.64e-05,4.18e-05,7.74e-05,4.05e-05,4.5e-05,3.9e-05,4.52e-05,4.06e-05,4.19e-05,3.8e-05,4.5e-05,4.08e-05,4.55e-05,5.57e-05,4.83e-05,4.12e-05,4.51e-05,3.91e-05,4.5944e-05
5.26e-05,5.2e-05,4.83e-05,3.96e-05,4.32e-05,3.87e-05,4.36e-05,4.16e-05,4.34e-05,4.34e-05,4.34e-05,3.89e-05,4.28e-05,3.96e-05,4.36e-05,3.72e-05,7.49e-05,3.99e-05,4.23e-05,3.86e-05,4.98e-05,4.07e-05,4.31e-05,3.68e-05,4.28e-05,4.4032e-05
