Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
6.84e-05,5.92e-05,5.99e-05,5.42e-05,7.64e-05,5.58e-05,5.02e-05,5.3e-05,5.28e-05,5.05e-05,6.02e-05,6.1e-05,6.2e-05,6.59e-05,6.09e-05,6.01e-05,6.14e-05,5.9e-05,5.95e-05,6.04e-05,6.07e-05,6.25e-05,5.93e-05,6.01e-05,6.06e-05,5.976e-05
6.36e-05,6.2e-05,6.12e-05,5.68e-05,6.7e-05,5.21e-05,5.57e-05,6.02e-05,5.03e-05,4.89e-05,6.23e-05,5.88e-05,5.91e-05,5.96e-05,6.17e-05,6.23e-05,5.94e-05,6.08e-05,6.09e-05,6.02e-05,5.82e-05,5.87e-05,6.05e-05,6.13e-05,5.87e-05,5.9212e-05
5.91e-05,5.62e-05,5.66e-05,5.28e-05,5.52e-05,4.84e-05,7.24e-05,5.35e-05,6.92e-05,4.88e-05,5.79e-05,6.1e-05,5.87e-05,5.65e-05,5.68e-05,5.81e-05,5.82e-05,6.03e-05,5.86e-05,5.73e-05,5.8e-05,5.74e-05,5.63e-05,5.76e-05,5.76e-05,5.77e-05
6.23e-05,6.09e-05,6.08e-05,5.64e-05,7.52e-05,5.07e-05,5.85e-05,5.3e-05,5.17e-05,5.22e-05,6.12e-05,6.32e-05,6.22e-05,6.02e-05,6.06e-05,5.9e-05,5.92e-05,5.94e-05,6.14e-05,6.36e-05,5.95e-05,5.9e-05,6.14e-05,5.81e-05,5.91e-05,5.9552e-05
6.17e-05,6.16e-05,5.92e-05,5.77e-05,8.67e-05,5.33e-05,5.52e-05,5.25e-05,7.3e-05,5.32e-05,6.11e-05,6.44e-05,6.28e-05,6.63e-05,6.17e-05,6.13e-05,6.27e-05,6.11e-05,6.07e-05,6.15e-05,6.46e-05,6.41e-05,6.03e-05,6.17e-05,6.25e-05,6.2036e-05
,,,,,,,,,,,,,,,,,,,,,,,,,5.9652e-05,5.9652e-05
