Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.0001763,0.0001068,0.0001225,8.39e-05,0.0001295,5.24e-05,5.16e-05,7.84e-05,6e-05,5.02e-05,5.09e-05,7.74e-05,5.54e-05,4.36e-05,4.45e-05,5.22e-05,5.27e-05,4.45e-05,4.41e-05,5.22e-05,5.02e-05,3.95e-05,4.31e-05,5.29e-05,4.79e-05,6.6508e-05
0.0001717,0.0001068,0.0001229,8.99e-05,8e-05,7.57e-05,5.4e-05,5.17e-05,5.58e-05,7.53e-05,5.59e-05,4.72e-05,4.86e-05,5.14e-05,5.26e-05,4.34e-05,4.39e-05,5.09e-05,5.24e-05,4.34e-05,4e-05,5.08e-05,4.8e-05,3.98e-05,4.09e-05,6.372e-05
0.0001711,0.0001145,9.67e-05,8.14e-05,0.0001128,5.04e-05,5.66e-05,9.1e-05,5.57e-05,4.69e-05,5.01e-05,5.78e-05,5.15e-05,4.45e-05,4.5e-05,5.1e-05,5.11e-05,4.43e-05,4.32e-05,6.39e-05,4.82e-05,3.93e-05,4.43e-05,4.98e-05,4.82e-05,6.4372e-05
0.0001079,0.0001213,0.0001128,0.0001103,6.09e-05,7.3e-05,8.65e-05,5.42e-05,5.35e-05,7.6e-05,5.56e-05,4.68e-05,4.3e-05,5.07e-05,5.04e-05,4.24e-05,4.28e-05,5.02e-05,5.08e-05,4.31e-05,3.87e-05,4.73e-05,4.78e-05,3.92e-05,6.16e-05,6.2672e-05
0.000114,0.0001266,8.93e-05,0.000109,6.86e-05,4.75e-05,5.46e-05,8.55e-05,5.45e-05,4.74e-05,4.87e-05,5.48e-05,5.05e-05,4.42e-05,4.25e-05,5.07e-05,5.06e-05,4.32e-05,4.36e-05,5.08e-05,4.6e-05,3.86e-05,3.85e-05,4.79e-05,6.19e-05,6.038e-05
,,,,,,,,,,,,,,,,,,,,,,,,,6.35304e-05,6.35304e-05
