Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.000128,0.0001356,9.91e-05,6.11e-05,5.51e-05,4.74e-05,5.09e-05,5.03e-05,4.82e-05,4.67e-05,4.92e-05,5.02e-05,5e-05,4.66e-05,4.77e-05,5e-05,4.32e-05,4.5e-05,4.61e-05,4.82e-05,4.35e-05,4.13e-05,4.04e-05,4.88e-05,4.15e-05,5.6564e-05
0.0001163,8.87e-05,0.0001033,5.79e-05,5.83e-05,5.07e-05,4.74e-05,4.87e-05,4.98e-05,4.96e-05,4.8e-05,4.7e-05,4.78e-05,5.02e-05,5.04e-05,4.83e-05,4.74e-05,4.95e-05,4.41e-05,4.57e-05,4.51e-05,4.77e-05,3.99e-05,4.11e-05,4.06e-05,5.454e-05
0.0001107,9.39e-05,8e-05,7.6e-05,5.35e-05,4.7e-05,5.05e-05,4.8e-05,4.7e-05,4.96e-05,4.82e-05,4.77e-05,4.66e-05,4.74e-05,4.78e-05,4.75e-05,4.35e-05,4.65e-05,4.54e-05,4.71e-05,4.28e-05,4.3e-05,3.97e-05,4.76e-05,3.94e-05,5.3456e-05
0.0001074,9.76e-05,7.01e-05,5.39e-05,5.42e-05,5.05e-05,4.86e-05,4.98e-05,4.89e-05,4.76e-05,4.85e-05,5.11e-05,4.68e-05,4.96e-05,4.87e-05,4.52e-05,4.67e-05,4.77e-05,4.28e-05,4.4e-05,4.55e-05,4.7e-05,3.88e-05,4.09e-05,3.98e-05,5.2468e-05
0.0001074,0.0001022,5.89e-05,7.64e-05,5e-05,4.79e-05,4.71e-05,4.91e-05,4.62e-05,4.96e-05,5.15e-05,4.89e-05,4.87e-05,4.52e-05,4.69e-05,4.67e-05,4.25e-05,4.2e-05,4.51e-05,4.62e-05,4.57e-05,3.89e-05,4.13e-05,4.66e-05,3.83e-05,5.2372e-05
,,,,,,,,,,,,,,,,,,,,,,,,,5.388e-05,5.388e-05
