Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0004582,0.0003716,0.0003022,0.0002004,0.000294,0.0002878,0.0002018,0.000283,0.0002235,0.0002812,0.12545,0.116261,0.127494,0.0643235,0.123739,0.124318,0.0613649,0.123758,0.073822,0.0639809,,0.10045113
0.0002118,0.0003058,0.0001883,0.0002542,0.0001876,0.0001826,0.0002491,0.000182,0.0002562,0.0002564,0.157464,0.14509,0.145453,0.0781505,0.141374,0.144205,0.0815203,0.141459,0.0947969,0.075413,,0.12049257
0.0001915,0.0001721,0.0001761,0.0001534,0.0001952,0.0001698,0.0001741,0.0001825,0.0001705,0.0001482,0.0695039,0.11944,0.0707217,0.066146,0.0664721,0.0668725,0.0765827,0.0617835,0.0756209,0.0579401,,0.07310834
0.0001617,0.0002781,0.0002364,0.0002221,0.0002332,0.0001444,0.0002341,0.0002231,0.0002294,0.0002268,0.0185771,0.0219899,0.0178643,0.0205041,0.0174006,0.0173398,0.0214229,0.0165419,0.0196096,0.0164028,,0.0187653
0.0001908,0.0001956,0.0001716,0.0001964,0.0001663,0.0001591,0.0001816,0.0001561,0.000201,0.0001787,0.0091528,0.0112557,0.0090108,0.0109416,0.0087088,0.0100987,0.0108749,0.0086642,0.0086961,0.0089509,,0.00963545
0.0001484,0.0003066,0.0002571,0.0002547,0.0002435,0.0002623,0.0002579,0.0002694,0.0001699,0.0002537,0.0408967,0.0183117,0.0166855,0.0190476,0.0423185,0.0153174,0.0199203,0.0150884,0.0167939,0.015409,,0.0219789
0.0002094,0.0001878,0.0001955,0.0001994,0.0002744,0.0001836,0.0001805,0.0001816,0.0001753,0.0001557,0.0206799,0.0107042,0.0086867,0.0117357,0.0229944,0.0095644,0.0122304,0.0094726,0.0095724,0.0092504,,0.01248911
0.0002135,0.0002358,0.000172,0.0002214,0.0002282,0.000224,0.0002434,0.0002152,0.0002417,0.000184,0.0054623,0.0024424,0.0023681,0.0027176,0.0051394,0.0023044,0.0026657,0.0021725,0.00238,0.0020455,,0.00296979
0.0001713,0.0001361,0.0001286,0.0001439,0.0001935,0.0001285,0.0001272,0.0001266,0.0001697,6.85E-05,0.0013022,0.0006751,0.0006069,0.0007531,0.0013017,0.0006254,0.0006901,0.0005864,0.0006674,0.0005416,,0.00077499
0.0002085,0.0001909,0.0001017,0.0001922,0.0001953,0.0001759,0.0001791,0.0001711,0.0002073,5.55E-05,0.0006854,0.0003718,0.0003147,0.0004073,0.0007088,0.0003425,0.0003971,0.0003213,0.0007123,0.0002585,,0.00045197
,,,,,,,,,,,,,,,,,,,,,0.036111755
