Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0020604,0.001691,0.0014784,0.0021515,0.0008222,0.0013979,0.0016539,0.0016427,0.0016278,0.0017119,1.17409,1.09244,1.21276,1.20039,1.2103,1.21548,1.14287,1.14003,1.1453,1.13815,,1.167181
0.0006948,0.0006699,0.0006565,0.0006541,0.001451,0.0015827,0.0016579,0.0007088,0.00157,0.0015626,1.12092,1.08088,1.17964,1.18332,1.05865,1.10901,1.10354,1.04304,1.1627,1.10588,,1.114758
0.000632,0.0013616,0.0007248,0.0013705,0.0006155,0.001481,0.0006827,0.0015101,0.0006579,0.0015012,0.684184,0.790312,0.80012,0.787223,0.756448,0.699605,0.75989,0.761522,0.693433,0.754767,,0.7487504
0.0012245,0.0013869,0.0005726,0.0005766,0.0012497,0.0013403,0.0013859,0.0006776,0.0015655,0.0006486,0.324066,0.29774,0.328991,0.308058,0.296586,0.308696,0.365984,0.36299,0.366671,0.363807,,0.3323589
0.0004666,0.000965,0.0004468,0.0008121,0.000815,0.0004188,0.0004408,0.0009344,0.0004507,0.0009178,0.279803,0.329882,0.29126,0.264238,0.318001,0.412736,0.331837,0.332184,0.333332,0.332404,,0.3225677
0.0007339,0.0003843,0.0007815,0.0003846,0.0007564,0.0010849,0.0008988,0.0008776,0.000445,0.0003791,0.159095,0.259327,0.185126,0.186878,0.160625,0.229366,0.231014,0.229235,0.230734,0.230688,,0.2102088
0.0002702,0.0004724,0.000294,0.0004776,0.0002604,0.0003588,0.0002815,0.0004676,0.0005891,0.0006088,0.0498,0.0469919,0.106122,0.0611128,0.0530211,0.110762,0.106977,0.0506069,0.106744,0.106657,,0.07987947
0.0004069,0.0002398,0.000314,0.0002559,0.0003912,0.0006589,0.0003247,0.0002907,0.0005083,0.0003031,0.0271885,0.0664582,0.0651196,0.0322287,0.033949,0.0698437,0.0692632,0.0261352,0.0693072,0.069467,,0.05289603
0.0002421,0.0003537,0.0003385,0.0003606,0.0002414,0.0005642,0.0003529,0.0003471,0.0005345,0.0005748,0.0117762,0.0285952,0.0256705,0.0139477,0.0146841,0.0322364,0.0313382,0.0321609,0.0332994,0.0317861,,0.02554947
0.0003179,0.0003436,0.0003132,0.0002009,0.000337,0.0003988,0.0004313,0.0003959,0.0004701,0.0003962,0.004032,0.0086965,0.0066182,0.0045902,0.0045191,0.0095816,0.0095142,0.009787,0.0092319,0.0100559,,0.00766266
0.00016,0.0001999,0.000181,0.0002296,0.0001566,0.0003211,0.0003176,0.0004588,0.0002853,0.000286,0.0038275,0.0072713,0.0052386,0.0038087,0.0039424,0.0083831,0.0081487,0.0082813,0.0082344,0.0085928,,0.00657288
0.0002173,0.0002285,0.0002254,0.0001466,0.0002144,0.000269,0.0003145,0.0002796,0.0002858,0.0002328,0.0024752,0.0046825,0.0018689,0.0021464,0.0022187,0.0049146,0.0049513,0.005039,0.005031,0.0048793,,0.00382069
0.0001331,0.0001952,0.0001532,0.0001927,0.0001251,0.0003553,0.0002976,0.0004015,0.0002503,0.0002609,0.0014775,0.0030375,0.0024236,0.0014994,0.0014785,0.003513,0.0034441,0.0034409,0.0035101,0.0033911,,0.00272157
0.0001942,0.000174,0.000224,0.0001221,0.0002066,0.0002899,0.0002832,0.0002567,0.0005406,0.000293,0.0013289,0.0026587,0.00127,0.0013567,0.0013319,0.0031814,0.0030334,0.0031184,0.0030361,0.0032891,,0.00236046
0.0001262,0.0002161,0.0001342,0.0001946,0.0001258,0.0002994,0.0002924,0.0005525,0.0002604,0.0002686,0.0002666,0.0004658,0.0003835,0.0002773,0.0002665,0.0006454,0.0006276,0.0006149,0.0005818,0.0005547,,0.00046841
0.0001582,0.0001594,0.0003421,0.000105,0.0001608,0.0002423,0.0002142,0.000212,0.0002342,0.0001883,0.0001425,0.0001846,0.0001287,8.09E-05,0.0001061,0.0002486,0.0002296,0.0002155,0.0001965,0.0001933,,0.00017263
0.0001035,0.0001509,9.25E-05,0.0001377,7.57E-05,0.0002214,0.0002057,0.0001938,0.0002382,0.0002089,7.93E-05,0.0001069,0.000106,9.26E-05,7.33E-05,0.0001917,0.0001669,0.0001736,0.0001672,0.0001393,,0.00012968
0.0001257,9.66E-05,0.0001673,7.50E-05,0.0001109,0.0001613,0.0001536,0.0001523,0.0001718,0.0001216,7.40E-05,0.000117,0.0001257,7.72E-05,8.05E-05,0.0001601,0.0001588,0.0001294,0.0001581,0.0001792,,0.000126
7.10E-05,0.0001137,9.66E-05,0.0001131,6.99E-05,0.0001556,0.0001472,0.0001406,0.0001533,0.0001956,7.00E-05,9.48E-05,0.0001602,7.06E-05,6.78E-05,0.0001503,0.0001472,0.0001494,0.000123,0.0001154,,0.00011487
,,,,,,,,,,,,,,,,,,,,,0.214647348
