Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.138484,0.138297,0.141234,0.138549,0.140992,0.142322,0.145081,0.142061,0.141127,0.1389,0.139825,0.13922,0.141309,0.141143,0.140308,0.142319,0.140917,0.141663,0.139486,0.139991,0.140857,0.141546,0.139128,0.139102,0.141193,0.140602
0.138443,0.143049,0.138453,0.139478,0.138799,0.138641,0.138393,0.142793,0.138704,0.134451,0.13854,0.138443,0.138663,0.138594,0.142515,0.138903,0.138546,0.138188,0.141604,0.13859,0.138206,0.138484,0.13894,0.138692,0.138971,0.139083
0.103098,0.103532,0.102372,0.102968,0.102663,0.102954,0.102577,0.102861,0.103113,0.102655,0.102997,0.102721,0.102951,0.102915,0.102975,0.102654,0.102555,0.102543,0.10275,0.103023,0.1027,0.103075,0.102819,0.103248,0.102992,0.102869
0.049004,0.0486511,0.0490849,0.0488239,0.0492638,0.048837,0.049875,0.0490929,0.048603,0.0490368,0.0487304,0.0487293,0.048966,0.0486149,0.0486325,0.0491431,0.0490557,0.048335,0.0489735,0.0487383,0.0491074,0.0491542,0.0486614,0.0491171,0.0488578,0.0489236
0.0399928,0.040228,0.0399833,0.0404739,0.0413207,0.0402729,0.039898,0.03984,0.0406239,0.0396702,0.0398395,0.0401981,0.0406802,0.0400265,0.039194,0.0397528,0.0395073,0.0393527,0.0399162,0.0396197,0.0413152,0.0396828,0.0391325,0.0390785,0.0408868,0.0400195
0.0225908,0.026657,0.0272757,0.0264876,0.0262823,0.0271598,0.0262895,0.0261886,0.0260313,0.0260255,0.0271507,0.0271435,0.0265161,0.027106,0.026377,0.0274401,0.0257457,0.0265827,0.0276514,0.026985,0.0265452,0.0270467,0.0269369,0.0261735,0.0265078,0.0265159
0.005154,0.0087108,0.0070772,0.007696,0.0081405,0.0077227,0.0078802,0.0074949,0.0078819,0.0086485,0.0081683,0.0077439,0.0077899,0.0078426,0.0069102,0.0070901,0.0080003,0.0080031,0.0075385,0.0075489,0.0070006,0.0076857,0.006912,0.0073961,0.0078915,0.00759714
0.0085791,0.0090572,0.0080284,0.0075559,0.0068656,0.0070867,0.0070144,0.0065988,0.0076176,0.0069262,0.006426,0.007287,0.0077841,0.0059472,0.0075621,0.0080091,0.0064958,0.0082845,0.0065756,0.0076424,0.0075581,0.006426,0.0075554,0.0068167,0.0070365,0.00730946
0.0062729,0.0054293,0.0052702,0.0054182,0.0059265,0.0070617,0.0041205,0.0054297,0.0058391,0.0055374,0.005129,0.0055992,0.0055122,0.0055525,0.00502,0.0055297,0.0056873,0.0051581,0.0050594,0.0054334,0.0051064,0.0058632,0.0050423,0.0054569,0.0055771,0.00548129
0.0018723,0.0021717,0.0017946,0.0017532,0.0009212,0.0026217,0.0009128,0.0019166,0.0015108,0.0015162,0.0015196,0.0014578,0.0017952,0.0014365,0.0019568,0.0019214,0.0008993,0.0023179,0.0018532,0.0017107,0.001209,0.0016592,0.0018776,0.0018228,0.0009153,0.00165374
0.0010327,0.0013089,0.0010728,0.0013104,0.0012083,0.0012185,0.0012643,0.0013645,0.0024006,0.0013639,0.0020527,0.0021307,0.0013525,0.0013181,0.0012493,0.0013462,0.0012166,0.0014828,0.0012896,0.001398,0.001392,0.0013082,0.0012441,0.0013352,0.0012443,0.00139621
0.0010113,0.0008972,0.0009793,0.0008343,0.0007776,0.0021304,0.0011982,0.0008988,0.0008233,0.0009529,0.000935,0.000892,0.0008952,0.0010552,0.0009139,0.000859,0.0007244,0.0009148,0.0008134,0.0012461,0.0009665,0.0008559,0.000909,0.0008587,0.0007512,0.000963744
0.0004828,0.0005082,0.0005131,0.0006225,0.0005356,0.0005844,0.000597,0.0006529,0.0006085,0.0004849,0.0005998,0.0005055,0.0006409,0.0006334,0.000485,0.0006395,0.0009672,0.0004961,0.0006177,0.0005272,0.0005194,0.0006024,0.0005042,0.00062,0.0009342,0.000595296
0.0002875,0.0002734,0.0003459,0.0002786,0.0002299,0.0006198,0.0002468,0.0002932,0.0002565,0.0002991,0.0002875,0.0002843,0.0002974,0.0002776,0.0003016,0.0002929,0.000212,0.000292,0.0002633,0.0003401,0.0002917,0.0002751,0.0002654,0.0002797,0.0002321,0.000292936
