Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.0001573,0.0001298,0.0001282,0.0001253,0.0001063,0.0001277,0.0001255,0.0001293,0.0001101,0.0001523,0.0001158,0.0001127,0.0001275,0.0001281,0.0001072,0.0001486,0.0001329,0.0001264,0.000103,0.0001026,0.0001278,0.0001244,0.0001014,0.0001015,0.0001223,0.00012296
0.0001309,0.0001914,0.0001071,0.0001344,0.0001464,0.0001225,0.0001042,0.0001312,0.0001266,0.0001418,0.0001686,0.0001272,0.0001045,0.0001134,0.0001225,0.000152,0.0001294,9.95e-05,0.0001208,0.0001043,9.89e-05,0.0001008,0.0001334,0.0001001,0.0001009,0.000124512
0.0001316,0.0001299,0.0001172,0.000116,0.0001018,0.000116,0.0001169,0.000117,0.0001018,0.0001262,0.0001006,0.0001004,0.0001171,0.0001162,9.87e-05,0.000129,0.0001201,0.0001121,9.5e-05,9.38e-05,0.0001116,9.53e-05,9.42e-05,9.51e-05,0.0001121,0.000110628
0.000103,0.0001067,8.67e-05,9.67e-05,9.16e-05,9.18e-05,8.11e-05,9.5e-05,9.51e-05,0.000106,9.75e-05,9.8e-05,8.08e-05,7.9e-05,9.34e-05,9.11e-05,8.12e-05,7.85e-05,8.83e-05,7.6e-05,7.46e-05,7.62e-05,8.86e-05,7.58e-05,7.86e-05,8.8452e-05
8.69e-05,0.0001075,8.24e-05,7.75e-05,6.88e-05,7.93e-05,7.88e-05,7.98e-05,7.27e-05,8.82e-05,7.1e-05,7.07e-05,7.89e-05,7.79e-05,7.45e-05,8.35e-05,7.87e-05,7.56e-05,6.4e-05,6.36e-05,7.55e-05,6.5e-05,6.31e-05,6.32e-05,7.53e-05,7.6096e-05
,,,,,,,,,,,,,,,,,,,,,,,,,0.00010453,0.00010453
