Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.0001265,7.09e-05,9.59e-05,6.44e-05,5.5e-05,4.92e-05,6.31e-05,5.88e-05,5.05e-05,4.26e-05,4.29e-05,4.87e-05,4.81e-05,4.95e-05,4.78e-05,5.14e-05,5.02e-05,4.24e-05,4.46e-05,5.22e-05,5.6e-05,4.45e-05,4.16e-05,4.81e-05,4.85e-05,5.5736e-05
0.0001017,0.0001097,9.71e-05,6.23e-05,6.44e-05,6.14e-05,4.94e-05,6.08e-05,4.56e-05,4.82e-05,4.83e-05,4.13e-05,5e-05,4.96e-05,6.33e-05,4.96e-05,5.5e-05,5.19e-05,4.86e-05,4.15e-05,4.13e-05,5.26e-05,5e-05,3.99e-05,4.04e-05,5.6956e-05
0.0001313,7.15e-05,9.07e-05,6.45e-05,5.33e-05,4.79e-05,4.65e-05,6.4e-05,4.83e-05,4.2e-05,4.13e-05,6.44e-05,4.85e-05,4.61e-05,6.45e-05,5e-05,6.17e-05,4.21e-05,4.37e-05,5e-05,5.81e-05,4.15e-05,4.12e-05,5.22e-05,4.91e-05,5.6576e-05
7.45e-05,0.0001101,9.46e-05,5.7e-05,6.53e-05,6.14e-05,5.18e-05,4.52e-05,3.95e-05,4.82e-05,4.95e-05,4.96e-05,4.84e-05,4.99e-05,4.69e-05,4.77e-05,4.8e-05,5.43e-05,4.84e-05,3.94e-05,6.3e-05,0.0001731,4.73e-05,3.99e-05,4.44e-05,5.9896e-05
0.0001131,9.72e-05,9.17e-05,5.98e-05,5.27e-05,5.34e-05,4.51e-05,5.13e-05,4.7e-05,4.07e-05,4.02e-05,5.1e-05,4.93e-05,4.8e-05,5.03e-05,4.92e-05,4.86e-05,4.44e-05,4.36e-05,7.19e-05,5.32e-05,4.27e-05,3.91e-05,4.84e-05,4.74e-05,5.5172e-05
,,,,,,,,,,,,,,,,,,,,,,,,,5.68672e-05,5.68672e-05
