Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.0001643,0.0001585,0.000158,0.0001448,0.0001333,0.0001275,0.0001268,0.0001345,0.0001925,0.0001282,0.0001269,0.0001276,0.0001272,0.0001271,0.0001277,0.0001277,0.000127,0.0001362,0.0001317,0.0001284,0.0001263,0.000127,0.0001286,0.0001282,0.0001285,0.00013578
0.0001633,0.0001617,0.0001687,0.000135,0.000144,0.0001274,0.0001358,0.0001374,0.0001439,0.0001293,0.0001364,0.0001278,0.000138,0.0001271,0.0001362,0.0001278,0.0001363,0.0001285,0.0001375,0.0001276,0.0001361,0.0001303,0.0001386,0.0001281,0.0001365,0.000137572
0.0001983,0.0001952,0.0001933,0.000164,0.0001629,0.0001571,0.0001575,0.0001598,0.0001596,0.0001592,0.0001586,0.0001578,0.0001578,0.0001589,0.0001597,0.0001585,0.0001582,0.0001616,0.0001576,0.0001564,0.0001567,0.0001793,0.0001587,0.0001588,0.0001587,0.000164168
0.0001647,0.0001746,0.0001434,0.0001476,0.0001386,0.0001408,0.000132,0.0001424,0.000134,0.0001404,0.0001343,0.0001526,0.0001333,0.0001405,0.0001322,0.0001402,0.0001365,0.0001424,0.0001329,0.0001398,0.000133,0.0001398,0.0001325,0.0001402,0.0001326,0.000140852
0.0001003,0.0001378,9.39e-05,8.73e-05,8.72e-05,8.05e-05,8.01e-05,8.01e-05,8.29e-05,8.04e-05,8.09e-05,8.35e-05,8.28e-05,8.18e-05,8.03e-05,8.25e-05,0.0001295,8.58e-05,8.08e-05,8.1e-05,8.5e-05,8.2e-05,8.13e-05,8.5e-05,8.24e-05,8.7804e-05
0.0002496,0.0002491,0.0002239,0.0002067,0.0002169,0.0001957,0.0002081,0.0001981,0.0002088,0.0001977,0.0002096,0.0001967,0.0002083,0.0001957,0.0002094,0.0001969,0.0002695,0.0002019,0.0002112,0.0001989,0.0002083,0.0001968,0.0002086,0.0002003,0.0002184,0.000211404
0.0002021,0.0001964,0.0001729,0.0001656,0.0001607,0.0001573,0.0001636,0.0001641,0.0001605,0.0001585,0.0001592,0.0001597,0.0001609,0.0001585,0.000175,0.0001568,0.000167,0.0001618,0.0001609,0.0001583,0.0001589,0.000158,0.0001578,0.000159,0.0001616,0.000164604
9.66e-05,9.55e-05,8.15e-05,8.07e-05,8.49e-05,7.67e-05,7.1e-05,7.71e-05,7.23e-05,7.71e-05,7.02e-05,7.5e-05,7.14e-05,7.53e-05,7.08e-05,7.5e-05,7.46e-05,7.72e-05,7.21e-05,7.67e-05,7.14e-05,7.42e-05,7.03e-05,7.6e-05,7.1e-05,7.6584e-05
9.42e-05,8.25e-05,7.58e-05,7.38e-05,6.7e-05,6.78e-05,7.64e-05,6.97e-05,6.95e-05,6.81e-05,6.86e-05,6.9e-05,6.87e-05,6.67e-05,6.85e-05,6.58e-05,0.0001,7.18e-05,6.71e-05,6.93e-05,7.06e-05,6.95e-05,6.82e-05,7.12e-05,6.89e-05,7.2348e-05
7.59e-05,6.71e-05,6.7e-05,6e-05,5.73e-05,5.42e-05,8.37e-05,5.62e-05,5.7e-05,5.58e-05,5.65e-05,5.58e-05,5.94e-05,5.42e-05,5.88e-05,5.35e-05,8.17e-05,8e-05,5.87e-05,5.43e-05,5.7e-05,5.37e-05,5.67e-05,5.4e-05,5.69e-05,6.1016e-05
,,,,,,,,,,,,,,,,,,,,,,,,,0.000125213,0.000133235
