Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0004023,0.0003224,0.0002243,0.0002834,0.0002769,0.0003394,0.0001791,0.0003189,0.0002598,0.0002581,0.0161104,0.0175007,0.0136432,0.0145745,0.0139141,0.0145436,0.020452,0.0169756,0.0094974,0.0129679,,0.01501794
0.0003376,0.0002749,0.0002288,0.0002616,0.0002421,0.0002919,0.0002914,0.0003058,0.0002439,0.0002396,0.0345303,0.0347918,0.0197498,0.0292354,0.0271471,0.0160453,0.0258791,0.0377108,0.0290388,0.0282452,,0.02823736
0.0003633,0.0002751,0.0003881,0.0002455,0.0002361,0.0003131,0.0002871,0.0002738,0.0002427,0.0002411,0.0170576,0.0148398,0.0057975,0.0138374,0.0139445,0.0086743,0.012861,0.0178451,0.0137956,0.0137062,,0.0132359
0.0003172,0.0002363,0.0002116,0.0001978,0.0002015,0.0003296,0.0002707,0.000485,0.000296,0.0002298,0.0035365,0.0028504,0.0024614,0.0024845,0.0025462,0.0013722,0.0024234,0.0023683,0.0024923,0.0024451,,0.00249803
0.0002114,0.0001723,0.0003216,0.0001944,0.0001953,0.0001663,0.0001635,0.0001694,0.0002042,0.0001618,0.003192,0.0026138,0.00371,0.0024226,0.0024567,0.0010832,0.0023376,0.0030533,0.0024678,0.0024165,,0.00257535
0.0003223,0.0001988,0.0002467,0.0001715,0.0002002,0.0001812,0.0001828,0.0001711,0.0001851,0.0001642,0.0028847,0.002184,0.0024413,0.0021874,0.0020073,0.0017737,0.0024587,0.002418,0.0020217,0.002126,,0.00225028
0.0002554,0.0001718,0.0001605,0.0001983,0.0001617,0.0002148,0.0003395,0.0001677,0.0002113,0.0002362,0.0022809,0.001703,0.0017735,0.0016001,0.001608,0.0017446,0.0018853,0.0019464,0.0017473,0.0020298,,0.00183189
0.0002648,0.0002005,0.0002064,0.0001663,0.0001942,0.0006711,0.0003151,0.0001566,0.000222,0.0002167,0.001507,0.0011423,0.0012564,0.0011166,0.0011808,0.001187,0.001534,0.0012755,0.0013149,0.0006304,,0.00121449
0.0002121,0.0001684,0.0001786,0.0001874,0.0001903,0.0001826,0.0002417,0.000158,0.0002195,0.0001618,0.0013009,0.0010053,0.0010523,0.0009672,0.0009549,0.0013064,0.0012556,0.0011046,0.00109,0.001072,,0.00111092
0.0002254,0.0001699,0.000186,0.0001423,0.0001497,0.0002283,0.0001562,0.0001334,0.0002383,0.0001516,0.0004722,0.0003519,0.0004183,0.0003737,0.000333,0.0002559,0.0004641,0.0003797,0.0004469,0.0002,,0.00036957
0.0001938,0.000148,0.0001507,0.0001607,0.0001614,0.0001462,0.0001465,0.00015,0.000214,0.0001666,0.0004853,0.0003789,0.0004173,0.0003532,0.0003558,0.0002086,0.0004414,0.0004096,0.0004586,0.0003617,,0.00038704
0.0002143,0.0001683,0.0001813,0.0001351,0.000138,0.0001939,0.0001366,0.0001266,0.0001583,0.0001575,0.0003057,0.0002395,0.0002556,0.0002433,0.0002032,0.0001783,0.0002652,0.0002527,0.000246,0.000151,,0.00023405
0.0001551,0.0001247,0.0001378,0.0001693,0.0001237,0.0002979,0.0001205,0.000108,0.0001433,0.0001512,0.0002409,0.0001829,0.0001995,0.0001703,0.0001486,0.0002731,0.0001889,0.000167,0.0002109,0.0001713,,0.00019534
0.0002225,0.0001525,0.0001679,0.000135,0.0001147,0.0001753,0.0001133,0.0001073,0.0001771,0.0001337,0.000339,0.0002387,0.0002632,0.0002612,0.0002293,0.0001941,0.0003029,0.0002739,0.000283,0.0001541,,0.00025394
0.000181,0.0001298,0.0001427,0.0001525,0.0001394,0.0001715,0.0001315,0.000126,0.0001381,0.0001535,0.0002297,0.0001761,0.0001946,0.0001752,0.0001423,0.000259,0.0002073,0.0001655,0.0001758,0.0001608,,0.00018863
0.0002213,0.0001734,0.0001711,0.000117,0.000126,0.0001808,0.0001291,0.0001392,0.0001495,0.000142,0.0001869,0.0001237,0.0001138,0.0001267,9.21E-05,0.0001723,0.0001257,0.0001153,0.0001022,8.99E-05,,0.00012486
0.0001493,9.76E-05,0.0001131,0.0001357,8.39E-05,0.000142,0.0001328,0.0001053,9.56E-05,0.0001038,0.0001707,0.0001206,0.0001536,0.0001178,9.09E-05,0.0001536,0.0001247,9.48E-05,0.0001134,0.0001022,,0.00012423
0.0001499,0.0001138,0.0001622,0.0001017,8.82E-05,0.0001511,0.0001632,9.95E-05,8.82E-05,9.80E-05,0.0001223,9.39E-05,0.0001056,0.0001226,8.64E-05,0.0001264,0.0001219,0.0001084,8.93E-05,7.72E-05,,0.0001054
0.0001184,9.25E-05,9.00E-05,0.0001141,9.17E-05,0.0001206,0.0001116,8.95E-05,9.79E-05,0.0001073,0.0001483,0.0001122,0.000126,8.14E-05,7.82E-05,0.0001703,0.0001098,8.96E-05,0.0001198,9.13E-05,,0.00011269
,,,,,,,,,,,,,,,,,,,,,0.003687785
