Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.0001731,0.0001513,0.0001179,0.0001625,0.0001523,0.0001622,0.0001115,0.0001131,0.0001463,0.0001606,0.0001125,0.0001118,0.0001542,0.0001832,0.0001107,0.0001126,0.0001731,0.0001676,0.0001114,0.000112,0.0001548,0.0001514,0.0001103,0.0001102,0.0001498,0.000139056
0.0001128,0.0001105,0.000145,0.0001707,0.0001162,0.000108,0.0001484,0.0001601,0.0001402,0.0001112,0.0001491,0.0001774,0.0001084,0.0001096,0.0001547,0.000112,0.00011,0.0001091,0.0001473,0.0001622,0.0001122,0.0001092,0.0001463,0.0001473,0.0001068,0.000131388
0.0001749,0.0001407,0.0001056,0.0001144,0.0001384,0.0001499,0.0001098,0.0001017,0.000156,0.0001493,0.0001011,0.0001032,0.00014,0.000167,0.0001055,0.0001031,0.0001403,0.0001584,0.0001038,0.000163,0.0001416,0.0001403,0.0001066,0.0001022,0.0001366,0.000130136
9.18e-05,8.62e-05,0.000115,0.0001304,8.42e-05,8.38e-05,0.0001117,0.0001225,9.09e-05,8.3e-05,0.0001144,0.0001392,8.45e-05,8.38e-05,0.0001145,0.0001437,8.6e-05,8.67e-05,0.0001101,0.0001279,8.36e-05,8.39e-05,0.0001087,0.0001086,8.24e-05,0.0001023
9.96e-05,9.61e-05,7.85e-05,7.67e-05,9.98e-05,0.0001137,7.31e-05,7.27e-05,0.0001052,0.0001137,7.44e-05,7.55e-05,9.63e-05,0.0001238,7.77e-05,0.0001324,0.000109,0.0001153,7.68e-05,9.49e-05,9.71e-05,9.66e-05,7.23e-05,7.43e-05,9.5e-05,9.362e-05
,,,,,,,,,,,,,,,,,,,,,,,,,0.0001193,0.0001193
