Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0014826,0.0024766,0.0018727,0.0012505,0.0021482,0.0014412,0.0020008,0.0016359,0.0015261,0.0014937,0.0095702,0.0157299,0.0119412,0.0151229,0.0108387,0.0091564,0.0122262,0.0099523,0.0087708,0.008851,,0.01121596
0.0014238,0.0020567,0.0021395,0.0022465,0.0024866,0.0014518,0.001736,0.0016143,0.0017128,0.0015867,0.0090691,0.01102,0.0124826,0.0141414,0.0101621,0.0082182,0.0116323,0.0099663,0.0082353,0.0086698,,0.01035971
0.0014338,0.0017996,0.0020445,0.0012457,0.001584,0.0012237,0.0015292,0.0016949,0.0012578,0.0015046,0.01232,0.009421,0.0105137,0.0067889,0.0067794,0.0065062,0.0077305,0.0080406,0.0072673,0.0070119,,0.00823795
0.0010484,0.0012881,0.0011432,0.0009821,0.0013416,0.0008377,0.0009496,0.0009997,0.0009122,0.0009785,0.0042947,0.0050587,0.0050946,0.0041041,0.0052923,0.005214,0.0041536,0.0028874,0.0034559,0.0041336,,0.00436889
0.0010661,0.0010428,0.0007985,0.0009862,0.001247,0.0011648,0.0007704,0.0007219,0.0007904,0.0008226,0.0050931,0.0050739,0.004984,0.0046684,0.005208,0.0050657,0.0036185,0.0029491,0.0033072,0.0036382,,0.00436061
0.0012215,0.0009379,0.0010907,0.0012602,0.0010585,0.0009971,0.0008068,0.0006352,0.0006642,0.0006798,0.0049512,0.0041833,0.0047144,0.0043204,0.0041399,0.0045134,0.0033456,0.00219,0.0029709,0.0035773,,0.00389064
0.0011226,0.000989,0.0010922,0.0014517,0.0010665,0.0010287,0.0008181,0.0007192,0.0006754,0.0007589,0.0038795,0.0037479,0.0053326,0.0045929,0.0038809,0.0034575,0.0028637,0.0026695,0.0025198,0.0030582,,0.00360025
0.0010082,0.000922,0.0012648,0.0011023,0.0008701,0.0007964,0.0008044,0.0006981,0.0006916,0.0007926,0.0018822,0.0020494,0.001223,0.0019264,0.0018185,0.0016334,0.001586,0.0011974,0.0013553,0.0015734,,0.0016245
0.0006069,0.0005676,0.000384,0.000558,0.0004565,0.0004216,0.000697,0.0003121,0.0002923,0.0003239,0.0024647,0.0017095,0.0015241,0.0011892,0.0011261,0.0013434,0.0017698,0.0009527,0.000951,0.001115,,0.00141455
0.0003945,0.0003933,0.0003891,0.0003541,0.0002895,0.0002857,0.000305,0.0002041,0.0002215,0.000235,0.0006412,0.0007761,0.000746,0.0005624,0.0005617,0.0006614,0.0006463,0.0004715,0.0004758,0.0005697,,0.00061121
,,,,,,,,,,,,,,,,,,,,,0.004968427
