Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.0001335,9.76e-05,0.000104,0.0001113,8.12e-05,5.49e-05,5.39e-05,5.97e-05,6.13e-05,5.45e-05,5.47e-05,6.33e-05,7.92e-05,5.11e-05,4.61e-05,5.75e-05,7.68e-05,4.69e-05,4.61e-05,5.41e-05,5.41e-05,4.47e-05,4.55e-05,5.39e-05,5.12e-05,6.5484e-05
0.0001324,0.0001171,0.0001132,9.25e-05,6.93e-05,6.18e-05,8.14e-05,5.06e-05,5.18e-05,9.7e-05,9.14e-05,5.17e-05,5.04e-05,6.2e-05,7.8e-05,4.47e-05,4.56e-05,5.35e-05,5.21e-05,4.47e-05,4.62e-05,5.49e-05,5.26e-05,4.4e-05,4.12e-05,6.7204e-05
0.0001357,0.0001025,0.0001048,0.000109,8.07e-05,7.15e-05,7.3e-05,5.9e-05,9.64e-05,5.67e-05,7.19e-05,6.37e-05,8.01e-05,4.63e-05,4.53e-05,5.55e-05,7.6e-05,4.45e-05,4.58e-05,5.29e-05,5.14e-05,4.5e-05,4.65e-05,6.09e-05,4.73e-05,6.8896e-05
0.0001257,0.0001127,0.0001125,9.25e-05,6.66e-05,6.57e-05,6.22e-05,5.14e-05,5.49e-05,7.82e-05,7.34e-05,4.97e-05,5.18e-05,5.89e-05,7.54e-05,4.43e-05,4.46e-05,5.34e-05,5.08e-05,4.42e-05,4.5e-05,5.26e-05,5.13e-05,4.58e-05,4.2e-05,6.4224e-05
0.0001054,9.23e-05,9.41e-05,8.9e-05,8.32e-05,5.17e-05,5.05e-05,5.74e-05,9.2e-05,8.42e-05,5.08e-05,5.97e-05,7.9e-05,4.42e-05,4.47e-05,5.91e-05,7.39e-05,4.46e-05,4.48e-05,5.15e-05,5.12e-05,4.37e-05,4.46e-05,5.19e-05,4.22e-05,6.3428e-05
,,,,,,,,,,,,,,,,,,,,,,,,,6.58472e-05,6.58472e-05
