Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.0001225,5.87e-05,5.56e-05,4.3e-05,4.51e-05,4.27e-05,4.57e-05,4.68e-05,5.06e-05,5.1e-05,4.83e-05,4.66e-05,4.82e-05,4.65e-05,4.54e-05,4.63e-05,4.38e-05,4.84e-05,4.13e-05,4.22e-05,4.78e-05,4.82e-05,4.12e-05,4.2e-05,5.61e-05,5.016e-05
9.81e-05,6.15e-05,4.77e-05,5.1e-05,4.21e-05,4.53e-05,4.16e-05,4.75e-05,4.64e-05,4.5e-05,5.16e-05,4.78e-05,4.65e-05,4.47e-05,4.79e-05,4.73e-05,4.33e-05,4.47e-05,4.21e-05,5.35e-05,5.15e-05,4.14e-05,4.21e-05,4.26e-05,5.96e-05,4.9312e-05
0.000126,7.43e-05,5.11e-05,4.12e-05,4.44e-05,4.11e-05,4.65e-05,4.8e-05,4.41e-05,4.56e-05,6.85e-05,4.68e-05,4.6e-05,4.56e-05,4.93e-05,4.12e-05,4.04e-05,4.48e-05,4.27e-05,5.17e-05,4.69e-05,5.1e-05,4.32e-05,4.35e-05,5.13e-05,5.1008e-05
9.19e-05,5.94e-05,4.66e-05,5.04e-05,4.17e-05,4.74e-05,4.22e-05,4.67e-05,4.71e-05,4.84e-05,4.85e-05,4.8e-05,4.64e-05,4.78e-05,4.74e-05,4.16e-05,4.2e-05,4.8e-05,0.000165,4.56e-05,4.67e-05,4.32e-05,4.42e-05,4.3e-05,5.86e-05,5.3512e-05
0.0001074,5.24e-05,5.06e-05,4.3e-05,4.74e-05,4.05e-05,4.36e-05,4.56e-05,4.58e-05,4.67e-05,4.67e-05,4.53e-05,4.62e-05,4.71e-05,4.35e-05,4.02e-05,4.19e-05,5.1e-05,4.68e-05,4.49e-05,4.6e-05,4.25e-05,4.1e-05,4.06e-05,6.16e-05,4.8332e-05
9.2e-05,6.2e-05,7.58e-05,5.24e-05,4.31e-05,4.67e-05,4.28e-05,4.72e-05,4.98e-05,4.67e-05,6.28e-05,4.89e-05,4.82e-05,5.71e-05,4.93e-05,4.39e-05,4.73e-05,4.6e-05,5.42e-05,4.9e-05,4.97e-05,4.25e-05,4.25e-05,4.49e-05,7.65e-05,5.2852e-05
0.0001186,5.67e-05,5.33e-05,4.44e-05,4.56e-05,4.32e-05,4.63e-05,4.68e-05,4.59e-05,4.81e-05,4.89e-05,4.72e-05,4.58e-05,4.9e-05,5.1e-05,4.56e-05,4.06e-05,4.73e-05,4.47e-05,4.99e-05,4.74e-05,4.27e-05,4.39e-05,4.43e-05,4.28e-05,4.96e-05
8.43e-05,6.22e-05,0.0001462,5.11e-05,4.3e-05,4.97e-05,4.28e-05,4.6e-05,4.8e-05,4.99e-05,5.04e-05,4.61e-05,4.68e-05,4.8e-05,5.08e-05,4.15e-05,4.32e-05,4.83e-05,4.38e-05,4.57e-05,4.87e-05,4.39e-05,4.38e-05,4.13e-05,4.37e-05,5.2368e-05
0.0001008,0.0001107,5.08e-05,4.3e-05,4.46e-05,6.7e-05,4.42e-05,4.64e-05,4.77e-05,4.81e-05,4.56e-05,4.47e-05,4.58e-05,4.96e-05,4.51e-05,4.05e-05,4.8e-05,4.73e-05,3.95e-05,4.47e-05,4.6e-05,0.0001734,4.05e-05,4.03e-05,4.25e-05,5.5872e-05
0.0001171,9.65e-05,4.31e-05,4.28e-05,4.01e-05,4.27e-05,4.2e-05,4.34e-05,4.66e-05,4.36e-05,4.55e-05,4.53e-05,5.08e-05,4.27e-05,4.44e-05,4.07e-05,4.21e-05,4.58e-05,3.98e-05,4.62e-05,4.6e-05,3.92e-05,4.02e-05,4.18e-05,4.18e-05,4.8408e-05
