Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0005345,0.0004292,0.0004662,0.0003202,0.0002591,0.0003501,0.000366,0.0003522,0.0003108,0.0003369,0.0016059,0.0022021,0.0015896,0.0020633,0.0013052,0.0019561,0.0021715,0.0019926,0.0019648,0.0019022,,0.00187533
0.0004173,0.0004293,0.000245,0.0003431,0.0002901,0.0002788,0.0003905,0.00028,0.0004269,0.0003719,0.0035464,0.0032477,0.0022925,0.0032908,0.002432,0.0030356,0.003385,0.0032076,0.0034065,0.003875,,0.00317191
0.0003426,0.0002578,0.0001823,0.0002995,0.0002571,0.0002523,0.0002967,0.0003038,0.0005028,0.0005684,0.0028631,0.0030499,0.0024182,0.0030674,0.0031674,0.0026939,0.0027326,0.0030176,0.0028804,0.0028996,,0.00287901
0.0004646,0.0002692,0.000405,0.0002851,0.0002686,0.0002706,0.0002902,0.0003034,0.000284,0.0002466,0.0007818,0.0007086,0.0009203,0.0008563,0.0008158,0.0008448,0.0006784,0.0007573,0.000768,0.0007982,,0.00079295
0.0002986,0.0002175,0.0001607,0.0002494,0.0002113,0.0002785,0.0002211,0.0002178,0.0002169,0.0002226,0.0018746,0.0015629,0.0016918,0.0023456,0.0018315,0.00163,0.0018824,0.0018404,0.001836,0.0018353,,0.00183305
0.0002846,0.0002376,0.0001875,0.0004848,0.0003506,0.0003016,0.000232,0.0002212,0.0002294,0.0002273,0.0020601,0.0020994,0.0018557,0.0018862,0.0020554,0.0020184,0.0020829,0.0019558,0.0019549,0.0019489,,0.00199177
0.0002786,0.0003286,0.0003239,0.0002092,0.0002777,0.0002186,0.0002188,0.0002799,0.0002187,0.000208,0.0010862,0.0010059,0.0013913,0.0007926,0.0010253,0.0010636,0.0010051,0.0009701,0.0009626,0.0009652,,0.00102679
0.0003532,0.0002598,0.0003107,0.0001929,0.0002544,0.0002409,0.0002511,0.0002389,0.0002313,0.0002263,0.0007332,0.0004758,0.0005376,0.0004419,0.0005775,0.0005447,0.0005034,0.0004835,0.0004805,0.0004767,,0.00052548
0.0002571,0.0001685,0.0002221,0.0001952,0.0002171,0.0002211,0.0002102,0.0001958,0.0001967,0.000199,0.0003263,0.0002072,0.0003138,0.0001998,0.0002752,0.0002816,0.0002646,0.0002545,0.0002526,0.0002499,,0.00026255
,,,,,,,,,,,,,,,,,,,,,0.001595427
