Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0007036,0.000342,0.0003435,0.0002975,0.0003503,0.0003637,0.0003051,0.0002975,0.0002824,0.0002789,0.0030508,0.0022992,0.002159,0.002048,0.0017455,0.0019854,0.0022562,0.0021389,0.0020292,0.0014363,,0.00211485
0.0003009,0.0004243,0.000374,0.0003539,0.0003242,0.0003013,0.0005974,0.0004118,0.0003662,0.0003744,0.0014231,0.0028959,0.0025689,0.0028824,0.0027839,0.0030456,0.0035471,0.0032033,0.0030787,0.0033497,,0.00287786
0.0003258,0.0004875,0.0003124,0.0004822,0.0003987,0.0003567,0.0003313,0.0003301,0.0002773,0.0003852,0.0044226,0.0024829,0.0032462,0.004386,0.0024491,0.0024554,0.002792,0.0030008,0.0033294,0.0036149,,0.00321793
0.0002576,0.0004766,0.0003425,0.0003166,0.0003049,0.0002514,0.0002663,0.0002477,0.000347,0.0002623,0.0004637,0.000749,0.0007802,0.0008051,0.0006513,0.0008097,0.0006379,0.0008231,0.0007888,0.0007556,,0.00072644
0.0002157,0.0003546,0.0002709,0.0002609,0.000232,0.000292,0.000209,0.0002944,0.0002237,0.0002399,0.0026904,0.0016866,0.001722,0.0016143,0.0018427,0.0021855,0.0019778,0.0017791,0.0017382,0.0009464,,0.0018183
0.0002242,0.0002385,0.000288,0.0002262,0.0003122,0.0002318,0.0003763,0.0002438,0.0002868,0.0001784,0.0018012,0.0018361,0.0016973,0.0015776,0.0019197,0.0021607,0.0019289,0.0018615,0.0018214,0.0018806,,0.0018485
0.0002527,0.0002084,0.0002633,0.0002578,0.0002333,0.0003348,0.0002352,0.000281,0.0002245,0.0002377,0.00102,0.000951,0.0008654,0.0007902,0.0011305,0.0009274,0.0009378,0.0009014,0.0009414,0.0005659,,0.0009031
0.0002684,0.0002915,0.0002961,0.0002267,0.0002838,0.0002544,0.0003216,0.0002368,0.000294,0.0001944,0.0005488,0.0005388,0.0005042,0.0005495,0.0005436,0.000544,0.0004892,0.0004993,0.0004628,0.0004975,,0.00051777
0.0002211,0.0002625,0.0002501,0.0002562,0.00024,0.0002814,0.0001999,0.0002562,0.0001977,0.0002466,0.0003927,0.0004127,0.0002917,0.0002603,0.0002343,0.0002733,0.0002693,0.0002446,0.0002186,0.0002305,,0.0002828
,,,,,,,,,,,,,,,,,,,,,0.001589728
