Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.0085251,0.0104322,0.0109699,0.0107924,0.0113883,0.0107947,0.0111376,0.0096312,0.0109968,0.0108639,0.0109736,0.0113149,0.0106299,0.0113536,0.0092857,0.0110385,0.0106492,0.0106912,0.0120565,0.0110007,0.0107581,0.0104887,0.0108253,0.0082317,0.0107549,0.0106234
0.0120539,0.0126176,0.0165286,0.0163043,0.0162797,0.016282,0.0161902,0.0120134,0.0166896,0.016513,0.0163802,0.0162364,0.0162884,0.0162634,0.0122509,0.0166329,0.0162023,0.0162986,0.0167455,0.0164168,0.0163915,0.016347,0.0160644,0.0162576,0.0160419,0.0156916
0.0239918,0.0258761,0.0251197,0.0258414,0.0206003,0.0250419,0.024939,0.0227273,0.0258741,0.0248321,0.024513,0.0244911,0.0248226,0.0245807,0.0250234,0.0248714,0.0248103,0.0249442,0.0250749,0.0249034,0.0249967,0.0247758,0.0245735,0.0247194,0.0246351,0.0246632
0.0039535,0.0039951,0.0041702,0.0041773,0.0025473,0.0043094,0.0042726,0.0044559,0.0041682,0.0045415,0.0039787,0.0025398,0.0043791,0.0025577,0.0044041,0.0045558,0.0045105,0.0043838,0.0046013,0.0043714,0.004081,0.0041719,0.0041748,0.0044117,0.0042208,0.00407734
0.0024394,0.0027169,0.0025568,0.0026252,0.0025158,0.0021028,0.0021125,0.0030188,0.0020826,0.0029143,0.0025642,0.0016803,0.0028043,0.0016847,0.0028415,0.002647,0.0026592,0.0029408,0.0028937,0.0026251,0.0018827,0.0020763,0.0026228,0.0020647,0.0020862,0.00244634
0.0104898,0.0101541,0.0103857,0.0133274,0.0095711,0.0102275,0.0102327,0.010643,0.0100095,0.010883,0.0104931,0.0103838,0.0107289,0.0106532,0.0109521,0.0103256,0.0103194,0.0103225,0.0109039,0.010748,0.0105636,0.010798,0.0076273,0.0100519,0.0095409,0.0104134
0.0050671,0.0052909,0.005578,0.0053114,0.0056519,0.0056064,0.0054678,0.0052947,0.0056912,0.0054776,0.0052753,0.0052896,0.0054686,0.0054809,0.0053455,0.0056165,0.0056155,0.0057958,0.0054469,0.0054395,0.0051118,0.0052675,0.0036214,0.0052633,0.0041343,0.00530438
0.0019231,0.0013838,0.0015737,0.0018246,0.0016299,0.0016318,0.0014082,0.0013551,0.0016369,0.0015324,0.0016438,0.0015282,0.0016336,0.001856,0.0010868,0.0010905,0.0010958,0.0013177,0.0015291,0.0010893,0.001096,0.0014516,0.0018876,0.0013728,0.0009373,0.00146062
0.0004893,0.0005031,0.0004754,0.0004831,0.0004843,0.0004039,0.0004907,0.0005047,0.0004582,0.0004842,0.0005067,0.0004815,0.0004361,0.000453,0.0004371,0.0004835,0.0004836,0.0004876,0.0004834,0.0005092,0.0004527,0.0004514,0.0003337,0.000449,0.0003555,0.000463236
0.0002034,0.0002021,0.0002201,0.0002032,0.0002222,0.0002009,0.0002189,0.0002199,0.0002196,0.0002198,0.0002234,0.0002592,0.0001985,0.0002129,0.0002004,0.0002209,0.0001849,0.0002397,0.0002017,0.0002212,0.0001956,0.0001955,0.0002339,0.0002148,0.0001958,0.00021314
,,,,,,,,,,,,,,,,,,,,,,,,,0.00753567,0.0115004
