Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
1.01196,1.01632,1.01909,1.01232,1.0181,1.01402,1.01084,1.01738,1.01375,1.01639,1.01063,1.01173,1.01413,1.01273,1.01316,1.01372,1.01509,1.01269,1.01262,1.01015,1.01372,1.01296,1.02232,1.01415,1.02149,1.01446
0.967443,0.962747,0.965948,0.966603,0.967158,0.966591,0.964366,0.963756,0.965171,0.96949,0.965229,0.966178,0.964713,0.968231,0.966318,0.965919,0.965092,0.965628,0.965009,0.966124,0.965799,0.967302,0.967237,0.973162,0.967112,0.966333
0.642304,0.640234,0.641434,0.640635,0.651559,0.640155,0.641944,0.641745,0.642633,0.640343,0.641093,0.641142,0.641853,0.643408,0.641491,0.64113,0.641465,0.640866,0.643279,0.641152,0.642633,0.640323,0.648277,0.642161,0.642708,0.642239
0.273006,0.273501,0.272672,0.273586,0.272935,0.273618,0.273193,0.273154,0.273014,0.273976,0.273107,0.274465,0.273297,0.274281,0.274206,0.273167,0.273355,0.273592,0.273229,0.274959,0.273115,0.27416,0.274042,0.273986,0.273988,0.273584
0.241066,0.240354,0.24183,0.240479,0.241463,0.240963,0.245122,0.241532,0.240448,0.240358,0.241557,0.240174,0.243111,0.240538,0.240577,0.24108,0.240353,0.240861,0.24095,0.240516,0.241556,0.240565,0.241215,0.241319,0.241527,0.24118
0.145714,0.147254,0.145759,0.14606,0.145972,0.145698,0.146094,0.146113,0.145761,0.146372,0.145652,0.145955,0.147004,0.146214,0.143685,0.146355,0.145741,0.145817,0.145392,0.146598,0.145543,0.145989,0.146886,0.146683,0.146281,0.146024
0.0450873,0.0451985,0.0451977,0.0455037,0.0449185,0.045419,0.0451659,0.0450049,0.0455469,0.0446657,0.0449615,0.0450303,0.0451124,0.0446424,0.0464612,0.0448787,0.0450554,0.0450068,0.0447903,0.0448806,0.0451363,0.045255,0.0457101,0.0448501,0.0451899,0.0451468
0.0266555,0.0267522,0.0271406,0.0275874,0.0267974,0.0269094,0.0260003,0.0261488,0.0266048,0.0259244,0.0269184,0.0265463,0.0257508,0.0271362,0.0266268,0.0265687,0.0262425,0.0268584,0.0269005,0.0263077,0.0266941,0.0268696,0.0269104,0.0268666,0.026664,0.0266553
0.0129422,0.0135412,0.0134079,0.0132283,0.0140454,0.0139282,0.012894,0.0134916,0.0131428,0.013194,0.0134058,0.0134162,0.0135339,0.0134029,0.0127161,0.0131634,0.0136388,0.0132302,0.0136948,0.0129595,0.0132965,0.0134059,0.0129158,0.0134014,0.0134152,0.0133365
0.0048599,0.004555,0.0048973,0.0048528,0.004486,0.0027342,0.0045207,0.0044189,0.0045014,0.0028387,0.0045698,0.0045342,0.0046973,0.0043248,0.0044499,0.0045304,0.0046929,0.0044304,0.0046829,0.0043822,0.0042938,0.0047392,0.0046036,0.0044905,0.0043084,0.00441581
