Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Minimax Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,,
0.0022625,0.0018064,0.0014785,0.0014386,0.0010251,0.0013895,0.0014872,0.0006386,0.0016204,0.0008739,0.25281,0.235808,0.229442,0.240418,0.249229,0.235129,0.229643,0.169162,0.248748,0.234746,,0.2325135
0.0013909,0.0014136,0.0014343,0.0014562,0.0014046,0.0014405,0.0014493,0.0006441,0.0014068,0.000624,0.1782,0.250213,0.246712,0.16559,0.176392,0.249461,0.230729,0.232636,0.173708,0.25305,,0.2156691
0.0006298,0.0007485,0.0013535,0.0013973,0.0006263,0.0007589,0.0013297,0.0013787,0.0006164,0.0007229,0.117114,0.186183,0.137413,0.19764,0.115526,0.187603,0.134183,0.196418,0.117993,0.186113,,0.1576186
0.0012588,0.001287,0.0013001,0.00069,0.0012356,0.0012483,0.0005584,0.0006641,0.0012442,0.0005623,0.0631448,0.117483,0.0516834,0.112214,0.0629427,0.118566,0.0550826,0.112439,0.0627341,0.0542611,,0.08105507
0.0004596,0.0005702,0.00081,0.000826,0.0004407,0.0009046,0.0008085,0.0007904,0.0004553,0.0008041,0.0586389,0.105702,0.0477306,0.104801,0.0605966,0.105915,0.0499854,0.104845,0.0531786,0.113319,,0.08047121
0.0007664,0.0007813,0.0004005,0.0005476,0.0007541,0.000763,0.0003858,0.0005841,0.000333,0.0007595,0.0379198,0.0752082,0.0330623,0.0795828,0.0398829,0.0755433,0.0313928,0.0777348,0.0312908,0.0761044,,0.05577221
0.0004492,0.0003754,0.0004936,0.0006168,0.0002807,0.0004029,0.000473,0.0006777,0.0002553,0.0004836,0.0262419,0.0202632,0.0109531,0.035072,0.0137586,0.0258143,0.0106528,0.0352979,0.0111676,0.0265191,,0.02157405
0.0004539,0.0003389,0.0002808,0.0005822,0.0004173,0.0004063,0.000229,0.0006188,0.0004648,0.0004138,0.0255048,0.0176233,0.0102428,0.0266743,0.0128952,0.0225325,0.0109912,0.0349756,0.0104647,0.0242397,,0.01961441
0.0004167,0.0003362,0.0004346,0.0004182,0.0002409,0.0003605,0.0004216,0.0005878,0.0002245,0.0004414,0.0188953,0.0184592,0.0078312,0.0173383,0.0099671,0.0184298,0.0078261,0.0244625,0.0083311,0.0191196,,0.01506602
0.0004043,0.0003273,0.0002129,0.0003394,0.000354,0.0003808,0.000196,0.0004553,0.0003669,0.0003811,0.0043446,0.0038294,0.0017924,0.00491,0.0020557,0.0042464,0.0017025,0.0050638,0.0020709,0.0045158,,0.00345315
0.0002701,0.0001981,0.0002701,0.0002134,0.0001537,0.0002473,0.0002545,0.0002914,0.0001682,0.0002438,0.0040882,0.0038609,0.001617,0.004487,0.0019363,0.0040385,0.0016092,0.0044824,0.0020325,0.0042421,,0.00323941
0.0002355,0.0002121,0.00013,0.0002603,0.0002145,0.000236,0.0001231,0.000257,0.0002236,0.0002294,0.0036801,0.0032661,0.0014271,0.0038922,0.0017178,0.0035655,0.0014832,0.004034,0.0017235,0.0034619,,0.00282514
0.0002416,0.0002188,0.0002393,0.0002165,0.0001415,0.0002208,0.0002311,0.0002555,0.0001469,0.0002517,0.0023495,0.0022924,0.0010196,0.0025952,0.0012726,0.0023143,0.0010257,0.0025601,0.0012355,0.0023539,,0.00190188
0.0003446,0.0001862,0.000222,0.0002067,0.0002087,0.0002331,0.0001288,0.0002382,0.000218,0.0002388,0.0010749,0.00092,0.0004798,0.0011646,0.0005483,0.0010272,0.0004511,0.0011961,0.0005457,0.0010579,,0.00084656
0.0001777,0.0001358,0.0001783,0.0001586,0.000101,0.0001698,0.0001792,0.0001939,0.000103,0.0001717,0.0003183,0.0002982,0.0001801,0.0002961,0.0001667,0.0003182,0.0001529,0.0003614,0.0001763,0.0003264,,0.00025946
0.0001854,0.0001397,0.0001021,0.000157,0.0001561,0.0001583,0.0001053,0.000175,0.0001662,0.000167,0.0003066,0.0003149,0.0001417,0.0002821,0.000175,0.0002756,0.000144,0.0003228,0.0001757,0.0002565,,0.00023949
0.0001648,0.0001356,0.0001607,0.0001434,0.0001016,0.0001558,0.0001891,0.0001731,0.0001048,0.0001586,0.0001608,0.0001286,9.95E-05,0.0001037,8.05E-05,0.0001654,9.33E-05,0.000136,7.86E-05,0.0001619,,0.00012083
0.0001305,0.0001138,7.49E-05,0.0001028,0.000138,0.0001457,6.72E-05,0.0001697,0.0001152,0.0001689,0.0001264,8.87E-05,7.46E-05,0.0001262,8.95E-05,0.0001179,6.96E-05,0.0001411,7.39E-05,0.000146,,0.00010539
0.0001214,8.62E-05,0.0001231,0.0001019,6.68E-05,0.0001248,0.0001177,0.0001219,6.98E-05,0.0001524,,,,,,,,,,,,0.049574749
