Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Average
0.639101,0.614378,0.614007,0.613487,0.614984,0.603213,0.603366,0.601864,0.606246,0.600839,0.601426,0.60078,0.601539,0.604193,0.604091,0.60229,0.60667,0.601196,0.601118,0.59703,0.596484,0.5987,0.605407,0.598001,0.604816,0.605409
0.634944,0.593474,0.588311,0.58754,0.586027,0.585239,0.578594,0.57796,0.58377,0.580484,0.577804,0.577012,0.578768,0.584385,0.583009,0.577379,0.599603,0.574852,0.574912,0.575229,0.574974,0.574114,0.575439,0.574412,0.575461,0.582948
0.357629,0.35293,0.349475,0.352611,0.340186,0.339533,0.338875,0.338934,0.342651,0.339012,0.341036,0.341717,0.34216,0.354293,0.344337,0.340916,0.343182,0.341033,0.340573,0.340826,0.337791,0.339609,0.339428,0.339625,0.339008,0.343095
0.0305082,0.0303167,0.0289134,0.0290935,0.0288956,0.0287793,0.0290988,0.0288307,0.0296365,0.029487,0.0294855,0.0289211,0.0289487,0.0289096,0.0287294,0.0288122,0.0286846,0.0287419,0.0285691,0.028922,0.0288791,0.0286904,0.0290704,0.0288368,0.0274254,0.0290074
0.0190295,0.0232646,0.0183272,0.0185774,0.0181321,0.0179824,0.0183668,0.0180498,0.0191352,0.0187029,0.0185594,0.0181341,0.0181304,0.0175859,0.0180453,0.0182125,0.0179571,0.0181457,0.0181054,0.0183098,0.0181009,0.0182029,0.0182478,0.0182305,0.0172777,0.0184325
0.0144713,0.0146617,0.0140212,0.0138529,0.0136938,0.0139302,0.0141581,0.0137533,0.0141024,0.0162332,0.0141519,0.0136638,0.0141942,0.0136415,0.0136996,0.0139465,0.0140172,0.0135461,0.0136389,0.0139473,0.0139583,0.0137888,0.0137596,0.0140024,0.0134284,0.0140105
0.0114375,0.0099717,0.0102014,0.0106994,0.0102326,0.0101721,0.0107154,0.0103584,0.0105406,0.0103839,0.0104491,0.0101392,0.0102215,0.0108757,0.0102831,0.0104569,0.0102428,0.010268,0.0103114,0.0103817,0.0105582,0.0108295,0.0106692,0.0109018,0.0110612,0.0104945
0.0046658,0.0046378,0.0042535,0.0040321,0.0040694,0.0041536,0.0043284,0.0044063,0.0042579,0.0039878,0.0043771,0.0040354,0.0038131,0.0040333,0.004388,0.0043897,0.0040979,0.0041785,0.0043728,0.0039933,0.0039708,0.0032166,0.0041124,0.0036888,0.0044141,0.00415498
0.0019844,0.001522,0.0015454,0.0016742,0.001952,0.0018443,0.001428,0.0018189,0.0021605,0.0014317,0.0019361,0.0017119,0.0014488,0.0018361,0.002142,0.002085,0.0018495,0.0019248,0.0014911,0.0017766,0.0017152,0.0018571,0.0018938,0.0017768,0.0012175,0.00176095
0.0018648,0.0013367,0.0011834,0.0011595,0.0011419,0.0011538,0.0012618,0.0012008,0.0011585,0.001127,0.0011887,0.0014662,0.0011284,0.0011784,0.001256,0.0011571,0.001207,0.0011952,0.0013243,0.0012969,0.0011739,0.0009651,0.0011726,0.0012918,0.0012018,0.00123166
0.0011131,0.0011832,0.0009684,0.0009249,0.0008776,0.0009042,0.0010539,0.0009204,0.0008851,0.000962,0.0009403,0.0009265,0.0015249,0.0009205,0.0009395,0.0008759,0.0009439,0.0009502,0.0009682,0.0009795,0.000962,0.0009783,0.0009465,0.0009681,0.000862,0.000979164
0.0002467,0.0002523,0.0002198,0.0002282,0.0002229,0.0002303,0.0002305,0.0002242,0.0002082,0.0002267,0.0002489,0.0002297,0.0002259,0.0003005,0.0002634,0.0002154,0.0002735,0.0002701,0.0002148,0.000249,0.0002504,0.0001703,0.0002361,0.0001944,0.0002374,0.000234784
0.0001482,0.0001358,0.000155,0.0001242,0.0001379,0.0001182,0.0001492,0.000122,0.0001158,0.0001435,0.0001271,0.0001213,0.0001325,0.0003496,0.0001411,0.0001289,0.0001357,0.0001202,0.0001505,0.0001275,0.0001415,0.0001383,0.0001268,0.0001254,0.0001081,0.000140972
0.0001673,0.0001372,7.81e-05,0.0001525,0.0001033,0.0001278,0.0001157,0.0001137,0.0001203,8.73e-05,0.0001166,0.000125,0.0001296,0.0001455,0.0001172,0.0001281,0.0001423,0.0001199,0.0001067,0.0001166,0.000139,9.18e-05,0.0001147,9.35e-05,0.0001186,0.000120332
0.0001532,0.0001143,0.0001291,0.0001275,9.66e-05,9.97e-05,0.0001241,0.0001017,9.42e-05,0.0001074,8.57e-05,0.0001034,0.0001299,0.0001123,0.0001094,9.72e-05,0.0001183,0.0001178,0.0001086,0.0001183,0.0001268,9.63e-05,0.000107,0.0001038,0.0001138,0.000111856
0.0001229,9.12e-05,9e-05,0.0001014,8.75e-05,9.28e-05,9.61e-05,9.64e-05,8.58e-05,0.0001183,8.85e-05,9.27e-05,0.000112,9.34e-05,0.0001033,0.000112,0.0001012,9.71e-05,9.38e-05,9.72e-05,0.0001221,8.4e-05,0.0001197,6.85e-05,0.0001197,9.9504e-05
,,,,,,,,,,,,,,,,,,,,,,,,,0.100764,0.315778
